"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","is_blownout","score_diff"
"358","JAX",4,1,70,0,0,-2,7,-5,14,6,25,0,22,-1,4,70,0,3,1,2,4,5,1,4,"JAX","NYJ",0,0,0,0,0,0,109,-3,3,1,24,1,0,124,-27,-3,"JAX","NYJ",-9,10,"False","outdoors","fieldturf ",-33,-22,-12,5,"NYJ",1,"2021-12-26",FALSE,9
"359","NYG",4,8,-63,1,-1,1,7,-33,-12,3,-40,0,-5,5,4,-63,1,-58,-1,5,-2,12,14,-2,"NYG","PHI",0,0,0,0,0,0,-46,3,-4,0,-46,6,1,-48,-9,0,"NYG","PHI",-11,28,"False","outdoors","grass ",16,-8,1,1,"PHI",-3,"2021-12-26",TRUE,-9
"360","ATL",-1,-8,-21,0,0,0,-15,-14,23,-5,-15,1,-4,-8,-1,-21,0,-32,0,-4,-1,-13,-12,-1,"ATL","DET",0,0,0,0,0,1,-75,-3,3,-1,-23,8,-2,-94,19,-2,"DET","ATL",3,-11,"False","retractable roof (open)","fieldturf",26,-36,0,2,"ATL",-6,"2021-12-26",FALSE,22
"361","WAS",-5,1,-6,2,2,3,-4,21,75,-1,22,-2,5,0,-5,-6,2,9,0,0,-1,3,4,-1,"WAS","DAL",0,0,1,0,0,0,46,3,6,4,35,-13,2,62,-6,1,"WAS","DAL",-3,29,"False","retractable roof (closed)","matrixturf",30,-12,-7,-4,"DAL",4,"2021-12-26",TRUE,-32
"362","SEA",-1,-4,25,2,-1,-1,-2,7,49,5,90,0,38,-1,-1,25,2,31,0,1,4,0,-4,4,"SEA","CHI",0,0,0,0,1,0,-181,1,-5,4,58,32,5,-147,27,-1,"CHI","SEA",15,4,"False","outdoors","fieldturf ",-47,40,11,1,"SEA",-5,"2021-12-26",FALSE,9
"363","CAR",-5,-19,-119,0,0,0,-3,-57,-39,11,21,1,-8,-19,-5,-119,0,-46,1,0,11,-8,-19,11,"CAR","NOR",0,0,0,0,0,0,-288,-12,-22,2,2,19,3,-272,-45,0,"CAR","NOR",-22,12,"False","dome","sportturf",-1,4,-8,3,"NOR",-6,"2022-01-02",FALSE,18
"364","BAL",-8,-8,-107,-2,0,4,26,5,-32,16,126,-1,38,-8,-8,-107,-2,-27,1,0,16,12,-4,16,"BAL","LAR",0,0,0,-1,0,-1,3,0,4,0,104,22,0,-1,-64,1,"LAR","BAL",-1,-22,"False","outdoors","grass",7,29,6,1,"LAR",5,"2022-01-02",FALSE,19
"365","WAS",12,4,59,-2,-1,-2,13,-42,-75,2,9,1,-8,4,12,59,-2,-17,0,2,0,4,4,0,"WAS","PHI",0,0,-1,0,0,0,-67,-8,-10,-2,-18,27,-2,-89,47,-2,"PHI","WAS",6,-40,"False","outdoors","grass ",-10,46,4,6,"PHI",-2,"2022-01-02",FALSE,38
"366","LAC",-5,-4,-99,1,-2,-1,-8,18,22,14,11,-1,-7,-4,-5,-99,1,-8,-1,-3,17,9,-8,17,"LAC","DEN",-2,0,0,-1,0,0,-69,-1,5,2,-11,22,2,-74,-63,2,"DEN","LAC",-16,-7,"False","dome","matrixturf",0,0,0,4,"LAC",0,"2022-01-02",FALSE,33
"367","PIT",-4,3,-71,0,0,0,-7,-23,-89,6,60,1,-7,4,-4,-71,0,-41,-2,-1,7,9,2,7,"PIT","CLE",0,0,0,0,1,0,63,5,4,4,-2,62,4,63,-18,-2,"CLE","PIT",4,-10,"False","outdoors","grass ",-35,-4,-10,10,"PIT",-4,"2022-01-03",FALSE,38
