"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","is_blownout","score_diff"
"297","PIT",23,44,221,1,4,4,43,22,36,16,58,0,36,43,23,221,1,141,0,1,15,64,49,15,"PIT","CLE",0,0,0,0,0,0,439,9,24,5,34,24,0,417,129,2,"PIT","CLE",7,21,"False","outdoors","grass",36,57,10,-3,"CLE",41,"2019-11-14",TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14
"298","CLE",17,32,193,2,0,1,4,42,92,35,104,1,19,30,17,193,2,131,0,0,35,68,33,35,"CLE","PIT",0,0,0,0,0,0,277,8,18,5,33,71,3,265,68,2,"PIT","CLE",7,21,"False","outdoors","grass",36,57,10,-3,"CLE",41,"2019-11-14",FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14
"299","ATL",22,32,314,1,0,3,19,51,190,26,54,1,22,31,22,314,1,138,0,0,26,61,35,26,"ATL","CAR",0,1,0,1,0,1,292,3,8,2,17,37,2,287,77,3,"ATL","CAR",29,3,"False","outdoors","grass",51,50,11,-3,"CAR",49,"2019-11-17",FALSE,26,FALSE,26,FALSE,26,FALSE,26,FALSE,26,FALSE,26
"300","CAR",31,50,325,0,4,5,55,31,47,15,77,0,25,47,31,325,0,119,0,1,14,70,56,14,"CAR","ATL",0,0,0,1,0,1,351,9,7,7,44,33,2,350,155,3,"ATL","CAR",29,3,"False","outdoors","grass",51,50,11,-3,"CAR",49,"2019-11-17",TRUE,-26,TRUE,-26,TRUE,-26,TRUE,-26,TRUE,-26,TRUE,-26
"301","JAX",33,47,296,2,1,2,17,34,92,9,29,0,16,46,33,296,2,118,0,0,9,58,49,9,"JAX","IND",0,0,0,0,0,1,423,4,8,2,21,8,0,393,144,0,"JAX","IND",13,33,"False","retractable roof (closed)","fieldturf",72,45,0,-2,"IND",41,"2019-11-17",TRUE,-20,TRUE,-20,TRUE,-20,TRUE,-20,TRUE,-20,TRUE,-20
"302","IND",15,24,148,1,1,3,23,31,76,36,264,3,99,21,15,148,1,106,0,2,34,63,29,34,"IND","JAX",0,0,0,0,2,0,219,2,8,5,151,113,9,171,86,1,"JAX","IND",13,33,"False","retractable roof (closed)","fieldturf",72,45,0,-2,"IND",41,"2019-11-17",FALSE,20,FALSE,20,FALSE,20,FALSE,20,FALSE,20,FALSE,20
"303","DAL",29,46,444,3,0,1,10,49,116,24,75,1,24,45,29,444,3,178,1,2,22,71,49,22,"DAL","DET",1,0,0,1,0,2,454,11,15,4,35,40,0,443,214,2,"DAL","DET",35,27,"False","dome","fieldturf",72,45,0,-7,"DAL",46,"2019-11-17",FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8
"304","DET",15,26,209,2,0,3,18,39,109,28,121,2,53,24,15,209,2,147,0,4,24,57,33,24,"DET","DAL",0,0,0,0,0,0,257,5,8,8,51,70,2,235,68,0,"DAL","DET",35,27,"False","dome","fieldturf",72,45,0,-7,"DAL",46,"2019-11-17",FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8
"305","BUF",21,33,256,3,0,0,0,40,117,34,168,1,74,31,21,256,3,122,0,3,31,67,36,31,"BUF","MIA",0,0,0,0,0,1,278,5,11,1,84,84,2,255,105,3,"BUF","MIA",37,20,"False","outdoors","grass",62,74,13,-7,"BUF",41,"2019-11-17",FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17
"306","MIA",32,45,323,0,0,7,43,50,91,13,23,2,21,44,32,323,0,124,1,0,13,65,52,13,"MIA","BUF",0,1,0,1,0,1,317,4,18,4,3,20,0,306,136,4,"BUF","MIA",37,20,"False","outdoors","grass",62,74,13,-7,"BUF",41,"2019-11-17",TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17
"307","DEN",18,40,278,1,1,2,8,86,180,33,124,1,44,36,18,278,1,144,0,1,32,75,43,32,"DEN","MIN",0,0,0,0,0,1,355,9,13,2,78,46,0,335,77,1,"DEN","MIN",23,27,"False","dome","sportturf",72,45,0,-10,"MIN",40,"2019-11-17",FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4
"308","MIN",29,35,319,3,0,5,35,54,133,18,37,1,17,35,29,319,3,158,2,0,18,58,40,18,"MIN","DEN",0,0,0,1,0,1,281,2,7,1,29,8,0,280,123,2,"DEN","MIN",23,27,"False","dome","sportturf",72,45,0,-10,"MIN",40,"2019-11-17",FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4
"309","NWE",27,48,231,1,0,1,7,45,225,22,74,0,34,45,27,231,1,133,0,0,22,71,49,22,"NWE","PHI",1,0,0,0,0,0,334,9,15,0,14,60,5,315,134,4,"NWE","PHI",17,10,"False","outdoors","grass",42,57,13,-4,"NWE",45,"2019-11-17",FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7
"310","PHI",20,40,214,1,0,5,40,29,74,21,81,0,27,38,20,214,1,105,1,3,18,66,48,18,"PHI","NWE",0,0,0,0,0,0,405,9,16,3,33,48,2,352,74,2,"NWE","PHI",17,10,"False","outdoors","grass",42,57,13,-4,"NWE",45,"2019-11-17",FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7
"311","CIN",13,31,115,0,1,5,42,20,39,22,173,1,82,30,13,115,0,74,1,2,20,58,38,20,"CIN","LVR",0,0,0,0,0,0,201,5,8,14,141,32,0,194,51,3,"CIN","LVR",10,17,"False","outdoors","grass",76,41,13,-13,"LVR",48,"2019-11-17",FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7
"312","LVR",25,29,292,1,1,3,19,32,105,34,113,1,30,28,25,292,1,124,1,2,32,66,34,32,"LVR","CIN",0,0,0,0,1,0,186,2,9,9,48,65,3,177,128,0,"CIN","LVR",10,17,"False","outdoors","grass",76,41,13,-13,"LVR",48,"2019-11-17",FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7
"313","CHI",25,47,199,1,1,3,6,28,104,24,74,0,21,45,25,199,1,92,0,1,23,74,51,23,"CHI","LAR",0,0,0,0,0,0,350,9,9,10,52,22,1,325,95,2,"CHI","LAR",7,17,"False","outdoors","grass",79,20,0,-5,"LAR",40,"2019-11-17",TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10
"314","LAR",11,18,173,0,1,0,0,50,69,34,110,2,19,16,11,173,0,128,1,1,33,52,19,33,"LAR","CHI",0,0,0,0,0,0,158,3,3,0,95,15,0,141,102,1,"CHI","LAR",7,17,"False","outdoors","grass",79,20,0,-5,"LAR",40,"2019-11-17",FALSE,10,FALSE,10,FALSE,10,FALSE,10,FALSE,10,FALSE,10
"315","HOU",18,30,169,0,1,7,59,20,103,20,122,1,71,30,18,169,0,85,1,2,18,57,39,18,"HOU","BAL",0,0,0,0,0,0,227,9,19,3,56,66,1,226,97,0,"HOU","BAL",7,41,"False","outdoors","grass",44,56,10,-4,"BAL",51,"2019-11-17",TRUE,-34,TRUE,-34,TRUE,-34,TRUE,-34,TRUE,-34,TRUE,-34
"316","BAL",20,27,235,4,0,0,0,57,316,37,256,1,121,27,20,235,4,162,0,4,33,64,31,33,"BAL","HOU",0,0,0,0,1,0,210,7,6,1,110,146,0,210,145,0,"HOU","BAL",7,41,"False","outdoors","grass",44,56,10,-4,"BAL",51,"2019-11-17",FALSE,34,FALSE,34,FALSE,34,FALSE,34,FALSE,34,FALSE,34
"317","ARI",24,33,150,2,0,4,19,23,101,25,135,1,35,33,24,150,2,74,2,0,25,62,37,25,"ARI","SFO",0,0,0,0,0,0,124,4,8,9,77,58,1,124,87,1,"ARI","SFO",26,36,"False","outdoors","grass",72,46,0,-10,"SFO",44,"2019-11-17",TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10
"318","SFO",34,45,424,4,2,2,16,57,115,19,34,0,17,44,34,424,4,215,0,1,18,66,48,18,"SFO","ARI",0,0,0,1,0,1,244,5,25,4,16,18,1,243,264,2,"ARI","SFO",26,36,"False","outdoors","grass",72,46,0,-10,"SFO",44,"2019-11-17",FALSE,10,FALSE,10,FALSE,10,FALSE,10,FALSE,10,FALSE,10
"319","NOR",28,35,228,3,0,1,9,41,122,28,109,0,35,34,28,228,3,111,0,0,28,64,36,28,"NOR","TAM",0,0,0,0,0,1,157,3,14,3,58,51,0,151,131,1,"NOR","TAM",34,17,"False","outdoors","grass",55,79,4,-5,"NOR",50,"2019-11-17",FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17
"320","TAM",30,51,313,2,4,2,15,48,57,8,36,0,29,49,30,313,2,162,0,1,7,61,54,7,"TAM","NOR",0,0,0,1,0,0,454,10,24,6,28,8,0,436,104,2,"NOR","TAM",34,17,"False","outdoors","grass",55,79,4,-5,"NOR",50,"2019-11-17",TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17
"321","WAS",19,35,214,2,1,6,43,45,79,20,54,0,21,32,19,214,2,156,0,1,19,61,42,19,"WAS","NYJ",2,0,0,0,0,0,257,4,17,7,7,47,1,213,83,6,"NYJ","WAS",34,17,"False","outdoors","grass",43,58,8,-1,"WAS",37,"2019-11-17",TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17
"322","NYJ",19,31,293,4,1,2,8,45,160,33,115,1,37,28,19,293,4,143,1,0,33,66,33,33,"NYJ","WAS",0,0,0,0,0,1,318,5,10,9,27,88,0,311,94,1,"NYJ","WAS",34,17,"False","outdoors","grass",43,58,8,-1,"WAS",37,"2019-11-17",FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17
"323","KAN",19,32,182,1,1,1,2,31,72,27,130,2,41,32,19,182,1,90,0,4,23,60,37,23,"KAN","LAC",0,0,0,0,0,0,255,7,1,7,78,52,0,254,94,0,"KAN","LAC",24,17,"False","outdoors","grass",67,63,7,-5,"KAN",52,"2019-11-18",FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7
"324","LAC",28,52,353,1,4,2,8,50,49,19,93,0,39,48,28,353,1,153,0,0,19,73,54,19,"LAC","KAN",2,0,0,1,0,1,412,7,10,7,73,20,0,413,190,5,"KAN","LAC",24,17,"False","outdoors","grass",67,63,7,-5,"KAN",52,"2019-11-18",FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7
"325","IND",16,25,129,0,0,1,8,14,76,39,175,2,39,24,16,129,0,59,0,3,36,65,29,36,"IND","HOU",0,0,0,0,1,0,178,4,5,0,104,71,2,178,88,1,"IND","HOU",17,20,"False","retractable roof (closed)","grass",72,45,0,-3,"HOU",46,"2019-11-21",FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3
"326","HOU",19,30,298,2,1,1,1,51,104,24,99,0,58,28,19,298,2,137,0,0,24,55,31,24,"HOU","IND",0,0,0,0,0,1,423,7,8,4,57,42,0,365,63,0,"IND","HOU",17,20,"False","retractable roof (closed)","grass",72,45,0,-3,"HOU",46,"2019-11-21",FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3
"327","TAM",18,28,313,3,2,0,0,71,108,34,133,1,69,27,18,313,3,159,0,4,30,62,32,30,"TAM","ATL",0,0,0,1,0,1,284,3,7,4,57,76,5,275,116,2,"TAM","ATL",35,22,"False","retractable roof (closed)","fieldturf",72,45,0,-3,"ATL",51,"2019-11-24",FALSE,13,FALSE,13,FALSE,13,FALSE,13,FALSE,13,FALSE,13
"328","ATL",28,55,326,1,1,6,46,74,170,19,57,1,34,53,28,326,1,152,1,1,18,80,62,18,"ATL","TAM",0,0,0,0,0,0,531,10,12,3,39,18,0,517,100,0,"TAM","ATL",35,22,"False","retractable roof (closed)","fieldturf",72,45,0,-3,"ATL",51,"2019-11-24",TRUE,-13,TRUE,-13,TRUE,-13,TRUE,-13,TRUE,-13,TRUE,-13
"329","DEN",10,25,82,0,1,4,33,27,32,17,85,0,36,24,10,82,0,82,0,2,15,46,31,15,"DEN","BUF",0,0,0,0,0,0,147,6,10,1,46,39,2,147,52,1,"DEN","BUF",3,20,"False","outdoors","astroturf",40,75,17,-3,"BUF",37,"2019-11-24",TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17
"330","BUF",15,25,185,2,1,1,5,34,92,47,244,0,73,22,15,185,2,124,0,3,44,73,29,44,"BUF","DEN",0,0,0,0,1,0,187,3,11,1,107,137,2,179,73,2,"DEN","BUF",3,20,"False","outdoors","astroturf",40,75,17,-3,"BUF",37,"2019-11-24",FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17
"331","NYG",21,36,150,2,0,1,16,23,86,21,109,0,71,34,21,150,2,77,1,2,19,58,39,19,"NYG","CHI",0,0,0,0,0,0,246,8,7,7,60,49,0,214,61,1,"NYG","CHI",14,19,"False","outdoors","grass",48,59,12,-6,"CHI",41,"2019-11-24",FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5
"332","CHI",25,41,278,1,2,2,8,49,69,26,65,1,38,41,25,278,1,121,0,3,23,69,46,23,"CHI","NYG",2,0,0,0,0,1,365,10,6,4,28,37,1,365,123,2,"NYG","CHI",14,19,"False","outdoors","grass",48,59,12,-6,"CHI",41,"2019-11-24",FALSE,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5
"333","PIT",13,27,203,1,1,3,24,114,154,38,159,0,58,22,13,203,1,154,0,3,35,68,33,35,"PIT","CIN",0,0,0,0,0,0,235,6,8,0,51,108,0,236,107,0,"PIT","CIN",16,10,"False","outdoors","grass",46,62,10,-5,"PIT",37,"2019-11-24",FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6
"334","CIN",12,26,192,1,0,4,34,47,84,21,86,0,20,25,12,192,1,108,2,1,20,51,31,20,"CIN","PIT",0,0,0,0,0,1,295,6,12,2,39,47,1,277,65,1,"PIT","CIN",16,10,"False","outdoors","grass",46,62,10,-5,"PIT",37,"2019-11-24",FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6
"335","MIA",21,39,214,2,2,4,22,22,65,20,92,1,42,38,21,214,2,88,0,5,15,63,48,15,"MIA","CLE",0,0,0,0,0,0,336,9,21,3,58,34,0,336,80,1,"MIA","CLE",24,41,"False","outdoors","grass",39,73,14,-11,"CLE",45,"2019-11-24",TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17,TRUE,-17
"336","CLE",24,34,327,3,1,1,7,37,118,32,147,2,30,33,24,327,3,130,0,0,32,67,35,32,"CLE","MIA",0,0,0,1,1,1,299,6,14,4,47,100,3,299,130,1,"MIA","CLE",24,41,"False","outdoors","grass",39,73,14,-11,"CLE",45,"2019-11-24",FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17,FALSE,17
"337","CAR",23,36,256,3,0,4,26,52,112,29,121,1,39,32,23,256,3,107,0,1,28,69,41,28,"CAR","NOR",0,0,0,0,0,1,244,4,17,8,81,40,0,223,144,3,"CAR","NOR",31,34,"False","dome","astroturf",72,45,0,-10,"NOR",46,"2019-11-24",FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3
"338","NOR",30,39,311,3,1,2,11,30,114,18,118,1,56,38,30,311,3,116,0,0,18,59,41,18,"NOR","CAR",2,0,0,1,0,1,374,3,10,0,68,50,3,374,124,0,"CAR","NOR",31,34,"False","dome","astroturf",72,45,0,-10,"NOR",46,"2019-11-24",FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3
"339","DAL",19,33,212,0,1,0,0,59,64,26,109,0,24,32,19,212,0,121,0,1,25,59,34,25,"DAL","NWE",0,0,0,0,0,0,185,7,10,2,75,34,1,182,138,2,"DAL","NWE",9,13,"False","outdoors","grass",38,90,16,-5,"NWE",44,"2019-11-24",FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4
"340","NWE",17,37,190,1,0,2,9,32,70,27,101,0,34,35,17,190,1,72,0,0,27,66,39,27,"NWE","DAL",0,0,0,0,0,0,385,9,9,1,81,20,2,361,47,5,"DAL","NWE",9,13,"False","outdoors","grass",38,90,16,-5,"NWE",44,"2019-11-24",FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4
"341","NYJ",20,29,315,2,0,1,2,69,127,30,88,1,41,26,20,315,2,212,0,2,28,60,32,28,"NYJ","LVR",0,0,0,1,0,0,215,4,8,6,46,42,1,206,195,1,"LVR","NYJ",3,34,"False","outdoors","fieldturf ",43,93,12,-3,"LVR",45,"2019-11-24",FALSE,31,FALSE,31,FALSE,31,FALSE,31,FALSE,31,FALSE,31
"342","LVR",19,34,147,0,1,1,7,28,114,22,68,0,39,33,19,147,0,71,1,1,21,57,36,21,"LVR","NYJ",0,0,0,0,0,0,200,5,12,5,35,33,2,199,100,3,"LVR","NYJ",3,34,"False","outdoors","fieldturf ",43,93,12,-3,"LVR",45,"2019-11-24",TRUE,-31,TRUE,-31,TRUE,-31,TRUE,-31,TRUE,-31,TRUE,-31
"343","JAX",32,48,272,0,0,3,20,27,81,27,117,2,29,44,32,272,0,106,0,2,25,78,53,25,"JAX","TEN",1,0,0,0,0,0,380,6,11,3,84,33,0,322,133,3,"JAX","TEN",20,42,"False","outdoors","grass",52,54,9,-4,"TEN",42,"2019-11-24",TRUE,-22,TRUE,-22,TRUE,-22,TRUE,-22,TRUE,-22,TRUE,-22
"344","TEN",14,18,259,2,0,1,7,65,155,33,219,4,102,17,14,259,2,172,2,1,32,52,20,32,"TEN","JAX",0,0,0,0,1,1,137,1,8,2,83,136,1,126,185,0,"JAX","TEN",20,42,"False","outdoors","grass",52,54,9,-4,"TEN",42,"2019-11-24",FALSE,22,FALSE,22,FALSE,22,FALSE,22,FALSE,22,FALSE,22
"345","SEA",13,25,200,1,1,6,26,38,75,26,174,1,84,23,13,200,1,163,1,1,25,57,32,25,"SEA","PHI",0,0,0,0,1,0,387,5,20,2,61,113,6,356,63,2,"SEA","PHI",17,9,"False","outdoors","grass",40,78,17,-1,"SEA",45,"2019-11-24",FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8
"346","PHI",33,45,256,1,2,3,18,30,75,23,106,0,36,45,33,256,1,84,3,3,20,71,51,20,"PHI","SEA",0,0,0,0,0,0,280,8,15,6,48,58,7,280,97,0,"SEA","PHI",17,9,"False","outdoors","grass",40,78,17,-1,"SEA",45,"2019-11-24",FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8
"347","GNB",23,37,119,1,0,5,38,22,156,28,117,0,49,36,23,119,1,62,1,3,25,70,45,25,"GNB","SFO",2,0,0,0,0,0,240,8,13,1,93,24,2,227,123,3,"GNB","SFO",8,37,"False","outdoors","grass",63,40,7,-3,"SFO",48,"2019-11-24",TRUE,-29,TRUE,-29,TRUE,-29,TRUE,-29,TRUE,-29,TRUE,-29
"348","SFO",14,20,253,2,0,3,26,61,145,22,112,2,52,19,14,253,2,162,0,1,21,45,24,21,"SFO","GNB",0,0,0,0,0,1,121,3,6,0,84,28,3,121,140,1,"GNB","SFO",8,37,"False","outdoors","grass",63,40,7,-3,"SFO",48,"2019-11-24",FALSE,29,FALSE,29,FALSE,29,FALSE,29,FALSE,29,FALSE,29
"349","WAS",13,30,156,0,1,3,12,26,87,24,86,0,35,29,13,156,0,93,1,2,22,57,35,22,"WAS","DET",0,1,0,0,0,0,391,9,12,0,46,40,0,385,47,1,"DET","WAS",16,19,"False","outdoors","grass",46,56,17,-4,"DET",39,"2019-11-24",FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3
"350","DET",20,33,207,1,3,6,18,34,50,32,175,0,56,30,20,207,1,121,1,4,28,71,43,28,"DET","WAS",0,0,0,0,0,0,297,9,10,3,139,36,1,290,87,0,"DET","WAS",16,19,"False","outdoors","grass",46,56,17,-4,"DET",39,"2019-11-24",FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3
"351","BAL",16,23,208,5,0,3,13,77,221,48,285,1,75,22,16,208,5,132,0,3,45,74,29,45,"BAL","LAR",0,0,0,0,1,0,191,1,12,1,148,137,4,190,66,1,"BAL","LAR",45,6,"False","outdoors","grass",62,64,5,-3,"BAL",47,"2019-11-25",FALSE,39,FALSE,39,FALSE,39,FALSE,39,FALSE,39,FALSE,39
"352","LAR",26,37,212,0,2,2,13,38,62,9,22,0,15,36,26,212,0,101,0,0,9,48,39,9,"LAR","BAL",0,0,0,0,0,0,312,8,23,1,9,13,0,311,100,1,"BAL","LAR",45,6,"False","outdoors","grass",62,64,5,-3,"BAL",47,"2019-11-25",TRUE,-39,TRUE,-39,TRUE,-39,TRUE,-39,TRUE,-39,TRUE,-39
"353","NOR",18,31,184,1,0,0,0,40,128,18,95,1,54,29,18,184,1,84,0,0,18,49,31,18,"NOR","ATL",0,0,0,0,0,0,173,4,14,2,52,43,1,171,109,3,"NOR","ATL",26,18,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"NOR",48,"2019-11-28",FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8
"354","ATL",35,50,312,2,2,9,53,23,83,26,89,0,26,47,35,312,2,113,1,3,23,85,62,23,"ATL","NOR",0,0,0,1,0,0,345,9,30,4,49,40,3,332,89,0,"NOR","ATL",26,18,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"NOR",48,"2019-11-28",FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8
"355","DAL",32,49,355,2,1,4,32,35,91,19,103,0,44,49,32,355,2,141,1,3,16,72,56,16,"DAL","BUF",2,0,0,1,0,0,331,3,14,5,13,90,8,331,122,2,"BUF","DAL",26,15,"False","retractable roof (closed)","fieldturf",72,45,0,-6,"DAL",46,"2019-11-28",TRUE,-11,TRUE,-11,TRUE,-11,TRUE,-11,TRUE,-11,TRUE,-11
"356","BUF",20,25,259,2,0,4,27,57,279,34,124,1,53,25,20,259,2,132,0,3,31,63,32,31,"BUF","DAL",0,0,0,0,0,1,227,3,9,2,83,41,2,227,130,0,"BUF","DAL",26,15,"False","retractable roof (closed)","fieldturf",72,45,0,-6,"DAL",46,"2019-11-28",FALSE,11,FALSE,11,FALSE,11,FALSE,11,FALSE,11,FALSE,11
"357","DET",22,38,280,2,1,2,21,75,87,27,105,0,30,36,22,280,2,135,0,1,26,67,41,26,"DET","CHI",0,0,0,0,0,1,349,6,13,6,52,53,0,331,108,1,"CHI","DET",24,20,"False","dome","fieldturf",72,45,0,-5,"CHI",37,"2019-11-28",FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4,FALSE,-4
"358","CHI",29,38,338,3,1,1,7,35,118,23,88,0,21,38,29,338,3,106,0,3,20,62,42,20,"CHI","DET",0,0,0,1,0,1,335,4,8,2,46,42,1,334,100,1,"CHI","DET",24,20,"False","dome","fieldturf",72,45,0,-5,"CHI",37,"2019-11-28",FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4,FALSE,4
"359","WAS",13,25,147,0,0,5,33,26,69,30,248,3,96,24,13,147,0,93,0,2,28,60,32,28,"WAS","CAR",0,0,0,0,1,0,204,6,15,3,57,191,1,208,46,4,"WAS","CAR",29,21,"False","outdoors","grass",64,77,16,-10,"CAR",38,"2019-12-01",FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8
"360","CAR",27,46,278,2,1,7,65,33,81,20,65,1,28,43,27,278,2,104,1,3,17,73,56,17,"CAR","WAS",0,0,0,0,0,0,418,7,11,6,36,29,1,405,103,6,"WAS","CAR",29,21,"False","outdoors","grass",64,77,16,-10,"CAR",38,"2019-12-01",FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8
"361","NYJ",28,48,239,0,0,4,30,20,71,17,62,0,27,45,28,239,0,88,0,2,15,69,54,15,"NYJ","CIN",0,0,0,0,0,1,353,8,12,6,25,37,3,326,90,7,"NYJ","CIN",6,22,"False","outdoors","grass",46,77,15,-2,"NYJ",43,"2019-12-01",TRUE,-16,TRUE,-16,TRUE,-16,TRUE,-16,TRUE,-16,TRUE,-16
"362","CIN",22,37,243,1,0,1,10,19,88,25,44,1,15,36,22,243,1,96,0,1,24,63,39,24,"CIN","NYJ",0,0,0,0,0,0,258,8,12,2,18,26,2,247,131,2,"NYJ","CIN",6,22,"False","outdoors","grass",46,77,15,-2,"NYJ",43,"2019-12-01",FALSE,16,FALSE,16,FALSE,16,FALSE,16,FALSE,16,FALSE,16
"363","TEN",17,22,182,2,0,6,44,40,131,30,154,1,42,21,17,182,2,136,2,1,29,58,29,29,"TEN","IND",0,0,0,0,1,0,167,1,8,4,58,96,4,160,74,2,"TEN","IND",31,17,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"TEN",41,"2019-12-01",FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14
"364","IND",25,40,319,1,2,3,10,26,74,24,82,1,38,37,25,319,1,131,1,0,24,67,43,24,"IND","TEN",0,0,0,1,0,1,322,9,10,10,43,39,4,294,151,3,"TEN","IND",31,17,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"TEN",41,"2019-12-01",TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14
"365","LAR",33,45,427,2,0,1,10,51,176,30,132,1,26,41,33,427,2,169,0,0,30,76,46,30,"LAR","ARI",0,0,0,1,0,2,226,5,14,1,111,21,2,197,268,2,"LAR","ARI",34,7,"False","retractable roof (closed)","grass",72,45,0,-2,"LAR",47,"2019-12-01",FALSE,27,FALSE,27,FALSE,27,FALSE,27,FALSE,27,FALSE,27
"366","ARI",19,34,163,0,1,6,39,23,56,21,74,1,33,33,19,163,0,80,0,2,19,61,42,19,"ARI","LAR",0,0,0,0,0,0,175,8,12,5,64,10,1,161,99,0,"LAR","ARI",34,7,"False","retractable roof (closed)","grass",72,45,0,-2,"LAR",47,"2019-12-01",TRUE,-27,TRUE,-27,TRUE,-27,TRUE,-27,TRUE,-27,TRUE,-27
"367","LAC",20,29,265,2,1,3,21,52,106,29,115,0,27,27,20,265,2,137,0,0,29,61,32,29,"LAC","DEN",0,0,0,0,0,1,200,5,7,1,46,69,0,204,109,0,"LAC","DEN",20,23,"False","outdoors","grass",33,51,7,-4,"LAC",39,"2019-12-01",FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3
