"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","is_blownout","score_diff"
"15","MIN",8,10,98,1,0,1,1,31,140,38,172,3,54,9,8,98,1,71,0,0,38,49,11,38,"MIN","ATL",0,0,0,0,1,0,51,1,8,2,75,97,3,59,42,0,"ATL","MIN",12,28,"False","dome","sportturf",72,45,0,-3,"MIN",47,"2019-09-08",FALSE,16,FALSE,16,FALSE,16,FALSE,16,FALSE,16,FALSE,16
"16","ATL",33,46,304,2,2,4,32,23,85,17,73,0,32,45,33,304,2,121,1,2,15,67,52,15,"ATL","MIN",0,0,0,1,0,0,360,6,10,7,48,25,2,345,118,0,"ATL","MIN",12,28,"False","dome","sportturf",72,45,0,-3,"MIN",47,"2019-09-08",TRUE,-16,TRUE,-16,TRUE,-16,TRUE,-16,TRUE,-16,TRUE,-16
"17","NWE",25,37,373,3,0,1,7,90,243,29,99,0,40,37,25,373,3,200,0,0,29,67,38,29,"NWE","PIT",0,0,0,1,0,0,280,10,9,9,73,26,0,280,174,1,"PIT","NWE",3,33,"False","outdoors","grass",66,62,2,-5,"NWE",49,"2019-09-08",FALSE,30,FALSE,30,FALSE,30,FALSE,30,FALSE,30,FALSE,30
"18","PIT",27,47,276,0,1,1,0,45,65,13,32,0,14,47,27,276,0,137,0,1,12,61,49,12,"PIT","NWE",0,0,0,0,0,0,465,8,13,13,23,9,0,465,140,6,"PIT","NWE",3,33,"False","outdoors","grass",66,62,2,-5,"NWE",49,"2019-09-08",TRUE,-30,TRUE,-30,TRUE,-30,TRUE,-30,TRUE,-30,TRUE,-30
"19","BUF",24,37,254,1,2,1,12,38,71,25,128,1,40,35,24,254,1,115,2,6,19,63,44,19,"BUF","NYJ",0,0,0,0,0,1,324,3,15,4,89,39,1,286,103,4,"BUF","NYJ",17,16,"False","outdoors","fieldturf ",77,46,6,-2,"NYJ",41,"2019-09-08",FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"20","NYJ",28,41,175,1,0,4,20,19,84,21,68,0,18,41,28,175,1,73,1,0,21,66,45,21,"NYJ","BUF",2,0,0,0,0,0,223,5,15,3,13,55,9,223,104,1,"BUF","NYJ",17,16,"False","outdoors","fieldturf ",77,46,6,-2,"NYJ",41,"2019-09-08",FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"21","WAS",30,44,380,3,0,1,10,69,117,13,28,0,12,43,30,380,3,203,0,0,13,58,45,13,"WAS","PHI",0,0,0,1,0,1,324,5,8,8,9,19,0,323,186,2,"WAS","PHI",27,32,"False","outdoors","grass",79,49,4,-10,"PHI",44,"2019-09-08",FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5,FALSE,-5
"22","PHI",28,39,313,3,0,1,0,53,121,31,123,1,57,39,28,313,3,126,0,0,31,71,40,31,"PHI","WAS",1,0,0,1,0,1,343,6,12,2,56,67,0,343,94,2,"WAS","PHI",27,32,"False","outdoors","grass",79,49,4,-10,"PHI",44,"2019-09-08",FALSE,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5,FALSE,5
"23","IND",21,27,190,2,0,2,17,25,120,33,203,1,82,27,21,190,2,100,0,1,32,62,30,32,"IND","LAC",1,0,0,0,1,0,158,1,2,0,124,79,0,157,98,3,"IND","LAC",24,30,"True","outdoors","grass",77,52,10,-6,"LAC",44,"2019-09-08",FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6
"24","LAC",25,34,333,3,1,4,23,55,121,21,125,1,51,34,25,333,3,145,0,1,20,59,39,20,"LAC","IND",0,0,0,1,0,1,234,5,12,4,68,57,1,233,177,1,"IND","LAC",24,30,"True","outdoors","grass",77,52,10,-6,"LAC",44,"2019-09-08",FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6
